S.No,Topic,Original_Q_No,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Has_Image,Image_Path
70,Fundamentals of Nursing,466,"Changes occur into pyrexia:","Increased pulse rate","Decreased pulse rate","Increased B.P","Decreased B.P","A","no",""
71,Fundamentals of Nursing,467,"A client with pyrexia will most likely demonstrate:","Dyspnea","Pericardial pain","Tachycardia","Elevated BP","C","no",""
72,Fundamentals of Nursing,468,"A client develops a temperature of 102F (38.8C) following an open-heart surgery. Nurse notifies the physician because elevated temperature indicates:","An increase in the cardiac output","Cerebral edema","A forerunner of hemorrhage","Possible diaphoresis and chilling","A","no",""
73,Fundamentals of Nursing,469,"The sudden fall of temperature from high to normal within a few hours is called:","Hypothermia","True crisis","Lysis","False crisis","B","no",""
74,Fundamentals of Nursing,470,"The type of fever in which the temperature fluctuates more than 2C, all above normal, during a 24-hour period is:","Intermittent fever","Remittent fever","Recurrent fever","Relapsing fever","B","no",""
75,Fundamentals of Nursing,471,"Ramu has a fever with 100F temperature. It rises to around 103F and comes down to 100F several times in a day in a typical pattern. What kind of fever is Ramu having?","Remittent","Relapsing","Intermittent","Constant","A","no",""
76,Fundamentals of Nursing,472,"Fever which spikes and falls to normal each day is termed as:","Sustained","Remittent","Intermittent","Spectic","C","no",""
77,Fundamentals of Nursing,473,"In which of following fever, body temperature alternates regularly between a period of fever and a period of normal or subnormal temp.?","Intermittent fever","Remittent fever","Relapsing fever","Constant fever","A","no",""
78,Fundamentals of Nursing,474,"Which stage called fastigium into patient with fever?","Initial stage of fever","Maximum and constable temperature","Temperature slowly becoming normal","Temperature fastly becoming normal","B","no",""
79,Fundamentals of Nursing,475,"Fever with relative bradycardia is seen in:","malaria","typhoid","filaria","diphtheria","B","no",""
80,Fundamentals of Nursing,476,"All of the following are nursing interventions for a patient with high fever except:","Give cold sponge bath","Check vital signs","Administer medications as prescribed","Restrict fluid intake","D","no",""
81,Fundamentals of Nursing,477,"All of the following are precautions in the care of a patient with high fever except:","Never leave a patient with high fever alone","Rigor & convulsion may occur at any time","Administer antipyretic drugs","Tepid cold sponging is not useful in patient not responding to antipyretics","D","no",""
82,Fundamentals of Nursing,478,"What is a common nursing intervention for a child with a high fever?","Apply ice directly to the child’s skin","Administer antipyretic drugs as prescribed","Encourage physical activity to reduce body temperature","Limit fluid intake to prevent dehydration","B","no",""
83,Fundamentals of Nursing,479,"Number of pulse beat per minute is known as:","Rate","Volume","Tension","Rhythm","A","no",""
