S.No,Topic,Original_Q_No,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Has_Image,Image_Path
40,Mental Health Nursing,40,"What is the defense mechanism where unacceptable thoughts are pushed into unconscious?","Denial","Repression","Projection","Displacement","B","no",""
41,Medical-Surgical Nursing,41,"What is the antidote for morphine overdose?","Atropine","Naloxone","Epinephrine","Dopamine","B","no",""
42,Obstetrics & Gynecology,42,"What is lochia?","Morning sickness","Vaginal discharge after delivery","False labor pains","Breast milk","B","no",""
43,Nutrition,43,"Which vitamin deficiency causes night blindness?","Vitamin A","Vitamin B","Vitamin C","Vitamin D","A","no",""
44,Microbiology,44,"What is the mode of transmission of HIV?","Airborne","Blood and body fluids","Waterborne","Vector borne","B","no",""
45,Community Health Nursing,45,"What is the color coding for biomedical waste containing sharps?","Yellow","Red","Blue","White","C","no",""
46,Fundamentals of Nursing,46,"What is the purpose of the nursing process?","Documentation","Systematic patient care","Legal protection","Time management","B","no",""
47,Anatomy & Physiology,47,"Which organ produces bile?","Pancreas","Liver","Gallbladder","Stomach","B","no",""
48,First Aid,48,"What is the correct position for an unconscious breathing patient?","Supine","Recovery position","Prone","Sitting","B","no",""
49,Child Health Nursing,49,"What is the typical weight of a newborn?","1.5-2 kg","2.5-3.5 kg","4-5 kg","5-6 kg","B","no",""
50,Mental Health Nursing,50,"What is the primary medication used to treat depression?","Antipsychotics","Antidepressants","Anxiolytics","Mood stabilizers","B","no",""
51,Medical-Surgical Nursing,51,"What is the normal range of random blood sugar?","70-140 mg/dL","140-200 mg/dL","200-250 mg/dL","250-300 mg/dL","A","no",""
52,Obstetrics & Gynecology,52,"What is eclampsia?","Severe morning sickness","Convulsions in pregnancy with high BP","Excessive bleeding","Premature labor","B","no",""
53,Nutrition,53,"Which mineral is essential for hemoglobin formation?","Calcium","Iron","Sodium","Potassium","B","no",""
54,Microbiology,54,"What is the causative agent of malaria?","Bacteria","Virus","Protozoa","Fungus","C","no",""
55,Community Health Nursing,55,"What is the safe distance for establishing a well from a latrine?","5 meters","10 meters","15 meters","20 meters","C","no",""
56,Fundamentals of Nursing,56,"What is the purpose of maintaining aseptic technique?","Comfort","Prevent infection","Save time","Documentation","B","no",""
57,Anatomy & Physiology,57,"How many bones are there in an adult human body?","186","196","206","216","C","no",""
58,First Aid,58,"What is the immediate treatment for electric shock?","Pour water","Switch off power source","Pull the person","Give CPR immediately","B","no",""
59,Child Health Nursing,59,"What is the normal pulse rate for a newborn per minute?","60-80","80-100","120-160","180-200","C","no",""
60,Mental Health Nursing,60,"What is the term for false sensory perception?","Delusion","Hallucination","Illusion","Obsession","B","no",""
61,Medical-Surgical Nursing,61,"What is the antidote for warfarin overdose?","Vitamin K","Vitamin B12","Protamine sulfate","Calcium gluconate","A","no",""
62,Obstetrics & Gynecology,62,"What is the hormone responsible for milk production?","Oxytocin","Prolactin","Estrogen","Progesterone","B","no",""
63,Nutrition,63,"Which disease is caused by Vitamin C deficiency?","Rickets","Scurvy","Beriberi","Pellagra","B","no",""
64,Microbiology,64,"What is the standard sterilization temperature in autoclave?","100°C","121°C","150°C","200°C","B","no",""
65,Community Health Nursing,65,"What is the aim of National Immunization Programme?","Cure diseases","Prevent diseases","Diagnose diseases","Rehabilitate patients","B","no",""
66,Fundamentals of Nursing,66,"What is the appropriate needle gauge for intramuscular injection?","18-20","20-22","22-24","25-27","B","no",""
67,Anatomy & Physiology,67,"Which part of the brain controls balance and coordination?","Cerebrum","Cerebellum","Medulla oblongata","Hypothalamus","B","no",""
68,First Aid,68,"What is the universal sign of choking?","Pointing to throat","Hands on throat","Coughing loudly","Running around","B","no",""
69,Child Health Nursing,69,"At what age is DPT vaccine first given?","Birth","6 weeks","9 months","15 months","B","no",""
70,Mental Health Nursing,70,"What is lithium primarily used to treat?","Depression","Schizophrenia","Bipolar disorder","Anxiety","C","no",""
71,Medical-Surgical Nursing,71,"What is the classic sign of myocardial infarction?","Chest pain","Headache","Dizziness","Nausea","A","no",""
72,Obstetrics & Gynecology,72,"What is the normal fetal heart rate per minute?","60-100","100-120","120-160","180-200","C","no",""
73,Nutrition,73,"What is kwashiorkor caused by?","Protein deficiency","Calorie deficiency","Fat deficiency","Vitamin deficiency","A","no",""
74,Microbiology,74,"Which organism causes tetanus?","Clostridium tetani","Vibrio cholerae","Salmonella typhi","Corynebacterium diphtheriae","A","no",""
75,Community Health Nursing,75,"What is the focus of primary health care?","Cure","Prevention","Rehabilitation","Diagnosis","B","no",""
76,Fundamentals of Nursing,76,"What color is oxygenated blood?","Dark red","Bright red","Blue","Purple","B","no",""
77,Anatomy & Physiology,77,"What is the functional unit of the kidney?","Neuron","Nephron","Alveoli","Hepatocyte","B","no",""
78,First Aid,78,"What is the correct depth for chest compressions in adults?","1-2 inches","2-2.4 inches","3-4 inches","5-6 inches","B","no",""
79,Child Health Nursing,79,"What is the Apgar score maximum value?","5","8","10","12","C","no",""
80,Mental Health Nursing,80,"What is ECT used for?","Anxiety","Severe depression","Mild stress","Insomnia","B","no",""
81,Medical-Surgical Nursing,81,"What is the normal INR range for patients on warfarin?","0.5-1.0","2.0-3.0","4.0-5.0","6.0-7.0","B","no",""
82,Obstetrics & Gynecology,82,"What is the recommended duration for exclusive breastfeeding?","3 months","6 months","9 months","12 months","B","no",""
83,Nutrition,83,"Which vitamin is produced by sunlight exposure?","Vitamin A","Vitamin C","Vitamin D","Vitamin E","C","no",""
84,Microbiology,84,"What is the shape of Vibrio cholerae?","Rod","Spiral","Comma","Spherical","C","no",""
85,Community Health Nursing,85,"What is the full form of RCH?","Reproductive and Child Health","Rural Community Health","Regional Child Healthcare","Routine Child Health","A","no",""
86,Fundamentals of Nursing,86,"What is the purpose of hand washing in nursing?","Save water","Prevent cross infection","Look professional","Hospital policy","B","no",""
87,Anatomy & Physiology,87,"What is the normal pH of blood?","6.35-6.45","7.35-7.45","8.35-8.45","9.35-9.45","B","no",""
88,First Aid,88,"What should be done first for a fracture?","Move the patient","Immobilize the part","Give pain medication","Apply heat","B","no",""
89,Child Health Nursing,89,"What is the oral rehydration solution used for?","Fever","Diarrhea","Cough","Vomiting","B","no",""
90,Mental Health Nursing,90,"What is cognitive behavioral therapy primarily used for?","Psychosis","Anxiety and depression","Dementia","Delirium","B","no",""
91,Medical-Surgical Nursing,91,"What is the Glasgow Coma Scale maximum score?","10","12","15","20","C","no",""
92,Obstetrics & Gynecology,92,"What is amniocentesis used for?","Detect fetal abnormalities","Induce labor","Prevent infection","Measure blood pressure","A","no",""
93,Nutrition,93,"What is the primary function of proteins?","Energy","Growth and repair","Insulation","Vitamin absorption","B","no",""
94,Microbiology,94,"What is the common cold caused by?","Bacteria","Virus","Fungus","Parasite","B","no",""
95,Community Health Nursing,95,"What is the vector for dengue?","Housefly","Mosquito","Rat","Cockroach","B","no",""
96,Fundamentals of Nursing,96,"What is the purpose of vital signs monitoring?","Legal requirement","Assess patient condition","Doctor's order","Routine procedure","B","no",""
97,Anatomy & Physiology,97,"Which chamber of the heart pumps blood to the body?","Right atrium","Left atrium","Right ventricle","Left ventricle","D","no",""
98,First Aid,98,"What is the treatment for snake bite?","Suck out venom","Apply tourniquet tightly","Keep calm and immobilize","Apply ice","C","no",""
99,Child Health Nursing,99,"What is the color code for protein-energy malnutrition in children?","Green","Yellow","Red","Orange","C","no",""
100,Mental Health Nursing,100,"What is the term for irrational fear of specific objects?","Phobia","Mania","Depression","Anxiety","A","no",""
