S.No,Topic,Original_Q_No,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Has_Image,Image_Path,Option_A_Image,Option_B_Image,Option_C_Image,Option_D_Image
18,Medical-Surgical Nursing,1044,"After obtaining 3 L of fluid from a client via paracentesis, the nurse would be alert for which complication?",Encephalopathy,Bleeding from site,Vascular collapse,Respiratory distress,C,no,,,,,
19,Fundamentals of Nursing,1085,"The process of straight, deep and firm stroking type of back massage is called:",Circular Massage,Effleurage,Kneading,Friction Massage,B,no,,,,,
20,Fundamentals of Nursing,1086,Which one of the following is not a type of back massage?,Petrissage,Soaking,Effleurage,Tapping,B,no,,,,,
21,Fundamentals of Nursing,1087,Bed sores can be best prevented by:,Frequent change of position,Massage the reddened area,Use of hard mattress,Cleaning and dressing,A,no,,,,,
22,Medical-Surgical Nursing,991,"After a long leg cast is removed, the male client should:",Cleanse leg by scrubbing with a brisk motion,Put leg through full range of motion twice,"Report any discomfort, stiffness to physician",Elevate leg when sitting from long periods,D,no,,,,,
23,child Health Nursing,992,A child with femur fracture temporarily placed into skin traction. During assessment nurse note absent dorsalis pedal pulse in left foot. What would be initial action by nurse:,Administer pain killer,Release the traction,Inform the doctor immediately,Apply hot bottle to affected leg,C,no,,,,,
24,Medical-Surgical Nursing,993,Which measures should be included in care plan of a patient whose left leg is in traction?,Checking feet for presence of ankle clonus,Noting color of toenails after applying temporary pressure,Assessing femoral artery for equality of pulse,Percussing the knee for a patellar reflex,B,no,,,,,
25,Medical-Surgical Nursing,994,Buck's extension traction is:,Applied as cervical head halter,Skin traction to the lower leg,Skeletal traction to the lower leg,Tongs applied to the head,B,no,,,,,
26,Medical-Surgical Nursing,1019,A 9-year-old has a fractured femur and a full leg cast has been applied. The nurse should immediately notify the physician if assessment demonstrates:,An inability to move the toes,A pedal pulse of 90,An increased injury output,A cast that is still damp & warm after 4 hr,A,no,,,,,
27,Medical-Surgical Nursing,1020,Nursing assessment for neurovascular status of extremity with a cast includes all except:,Pallor,Range of motion,Paresthesia,Pain,B,no,,,,,
28,Medical-Surgical Nursing,1021,A client has his leg immobilized in a long leg cast. Which of following assessments would indicate the early beginning of circulatory impairment?,inability to move toes,cyanosis of toes,complaint of cast tightness,tingling of toes,D,no,,,,,
29,Medical-Surgical Nursing,1022,Magnesium sulphate is known as:,Epsom salt,Plaster of Paris,Black powder,Iodized salt,A,no,,,,,
30,Medical-Surgical Nursing,1023,Plaster of Paris is:,calcium carbonate,calcium phosphate,calcium Sulphate,calcium citrate,C,no,,,,,
31,Medical-Surgical Nursing,995,"A patient has fractured hip, is placed in Buck's traction. The purpose of Buck's traction is to:",Prevent contractures,Promote circulation,Conserve body energy,Maintain body alignment,D,no,,,,,
32,Medical-Surgical Nursing,996,Patient with fracture of head of the femur is placed in buck extension. The rationale for buck extension is:,Prevent soft tissue trauma,Reduces the need for POP cast application,Prevent damage to surrounding nerves,Reduces muscle spasm,D,no,,,,,
33,Medical-Surgical Nursing,1054,The possible causes of retention of urine include except:,Urethral obstruction,Surgery and trauma,Drugs like albendazole,Decreased stimulation of muscle of bladder,C,no,,,,,
34,Medical-Surgical Nursing,1055,Nursing intervention designed to decrease the risk of infection in a patient with an indwelling catheter include:,Cleanse area around meatus,Empty catheter drainage bag at least daily,Change catheter tubing & bag every 48 hour,Maintain fluid intake 1200-1500 ml everyday,A,no,,,,,
35,Medical-Surgical Nursing,1056,Which of the following is a primary nursing intervention necessary for all patients with a Foley Catheter in place?,Maintain drainage bag below bladder level,Clamp catheter for 30 minutes daily,Irrigate catheter daily,Change catheter every week,A,no,,,,,
36,Medical-Surgical Nursing,1014,Pressure by the upper end of a crutch may cause injury to the:,Axillary nerve,Long thoracic nerve,Median nerve,Ulnar nerve,A,no,,,,,
37,Medical-Surgical Nursing,1015,"After a cast has been applied, the nurse should suspect circulatory impairment if patient has:",Stiffness of the digits,Itching of the part,Numbness or tingling or both of the digits,Excessive sweating under the cast,C,no,,,,,
38,Medical-Surgical Nursing,1016,A serious complication for a client with plaster cast on leg is shown by:,Itching under cast,Poor capillary refill of toes,Ability to move toes,Pain reduced by applying ice bag,B,no,,,,,
39,Medical-Surgical Nursing,1017,"Protective devices are applied snugly, which of the following findings would you be concerned about?",Ability moves fingers and toes,Skin that is warm and pink,Pallor of the nail beds,Quick capillary refill of the nail beds,C,no,,,,,
40,Medical-Surgical Nursing,1018,"The 12-year-old boy has fractured his arm. After the injury is casted, the nurse has to perform all of following assessments except:",Circulation,Sensation,Motion,Pupillary response,D,no,,,,,
41,Fundamentals of Nursing,1113,Which action is most effective in preventing wound infections?,Using sterile dressings,Suggesting dietary supplements,Applying antibiotic ointment,Observing careful hand hygiene,A,no,,,,,
42,Medical-Surgical Nursing,1114,Which of the following may interfere with wound healing?,High protein diet,Keeping surrounding area dry,Moderate activity,Constricting bandage,D,no,,,,,
43,First Aid,1115,"In case of emergency wound bandaging, the knot should be...",over the wound,below the wound,on the right side of the wound,away from the wound,a,no,,,,,
44,Fundamentals of Nursing,1116,What is the best way to be adapted by a nurse to avoid hematoma formation when undertaking venipuncture?,choose a vein that is soft and refills fast,tap the vein hard before venipuncture,apply firm pressure for 1 min. after procedure,apply heparin ointment after procedure,c,no,,,,,
45,Fundamentals of Nursing,1117,Nurse is caring for a patient who is bleeding from the puncture wound. Which of the following intervention should the nurse use to control the arterial bleeding?,Pressure at the puncture site,Application of a tourniquet,Pressure point massage,Pressure dressing,a,no,,,,,
46,Fundamentals of Nursing,1103,What is the first phase in wound healing?,Hemostasis phase,Inflammatory phase,Proliferative phase,Maturation phase,a,no,,,,,
47,Fundamentals of Nursing,1104,Which phase of the wound healing process is characterized by Angiogenesis?,Destructive phase,Inflammatory phase,Proliferative phase,Maturation phase,b,no,,,,,
48,Fundamentals of Nursing,1105,The regeneration during the healing process can be defined as:,replacement of lost cells by same cells,replacement of lost cell by connective tissue,replacement of lost cells by white blood cells,replacement of lost cells by mast cells,b,no,,,,,
49,Fundamentals of Nursing,1106,"During dressing change, inspection of wound reveals what appears to be reddish pink tissue in the wound. The nurse interprets this as:",Exudate,Granulation tissue,Eschar,A sign of infection,b,no,,,,,
50,Fundamentals of Nursing,1107,The nurse identifies that which of the following diets would best meet the needs of a person with multiple wounds?,"High protein, low fat, high iron","High-vit. A, high calcium, high fat","High vit. C, high protein, high carbohydrate","High vita. B, high protein, low carbohydrate",c,no,,,,,
51,Fundamentals of Nursing,1049,A Foleys catheter operates by principal of:,Osmosis,Diffusion,Gravity,None of this,c,no,,,,,
52,Fundamentals of Nursing,1050,Which type of catheter is generally used for the client with urine retention?,Coude,Indwelling urinary,Straight,Three-way,b,no,,,,,
53,Fundamentals of Nursing,1051,Most commonly used urinary catheter is:,Malecot catheter,Metal catheter,Foley's catheter,Pesser catheter,c,no,,,,,
54,Medical-Surgical Nursing,1052,Indication for Foley catheterization include all except:,Collection of sterile urine sample,Measuring residual urine volumes,In preparation for a long travel,Urinary retention,c,no,,,,,
55,Medical-Surgical Nursing,1053,A suprapubic cystostomy with a malecot catheter has been ordered for a patient. Which of the given catheters in the images would you keep in your tray?,Foley's catheter,Malecot catheter,Nelaton catheter,Condom catheter,b,no,,,,,
56,Medical-Surgical Nursing,1132,Physician want central venous catheterization Nurse has to know which vein should make use,Radial vein,Femoral vein,Basilic vein,Cephalic vein,c,no,,,,,
57,Medical-Surgical Nursing,1133,A client has just undergone insertion of a Central Venous Catheter at the bedside. A nurse would be sure to check the results of which of the following before increasing the flow rate of the I/V solution attached to line:,Serum electrolytes,Serum osmolarity,Portable chest X-ray,Intake-output chart,c,no,,,,,
58,Medical-Surgical Nursing,1134,Which of the following assessment is essential in administering total parenteral nutrition?,Evaluation of the peripheral I/V site,Confirmation that the tube is in the stomach,Assess the bowel sound,Fluid and electrolyte monitoring,a,no,,,,,
59,Medical-Surgical Nursing,1135,The nurse is caring for a client who is receiving parenteral nutrition through a central venous catheter. Which action should the nurse plan to implement to decrease the risk of infection in this client?,Track the client's oral temperature,Administer antibiotics intravenously,Evaluate the differential of the leukocytes,Use sterile technique for dressing changes,d,no,,,,,
60,Fundamentals of Nursing,1140,Which of the following involves the injection of a fluid into the rectum?,Enema,Catheterization,Irrigation,Instillation,A,no,,,,,
61,Fundamentals of Nursing,1141,A patient is to receive an enema. The nurse should place the patient in which position?,Fowler's,Sims' left lateral,Supine,Prone,B,no,,,,,
62,Fundamentals of Nursing,1142,Which solution is most commonly used for a cleansing enema?,Tap water,Normal saline,Soap suds,Oil retention,C,no,,,,,
63,Fundamentals of Nursing,1143,The amount of solution to be administered in a cleansing enema to an adult is:,250-500 ml,500-1000 ml,1000-1500 ml,1500-2000 ml,B,no,,,,,
64,Pharmacology,1144,Which injection is given at a 45-degree angle?,Intramuscular,Subcutaneous,Intradermal,Intravenous,B,no,,,,,
65,Pharmacology,1145,The preferred site for intramuscular injection in infants is:,Deltoid,Vastus lateralis,Gluteus maximus,Ventrogluteal,B,no,,,,,
66,Pharmacology,1146,Which size gauge needle is typically used for intradermal injections?,18-20 G,20-22 G,22-25 G,25-27 G,D,no,,,,,
67,Pharmacology,1147,The maximum volume of medication that can be safely injected into the deltoid muscle is:,0.5 ml,1 ml,2 ml,3 ml,B,no,,,,,
68,Medical-Surgical Nursing,1148,Which condition is characterized by increased intraocular pressure?,Cataract,Glaucoma,Conjunctivitis,Macular degeneration,B,no,,,,,
69,Medical-Surgical Nursing,1149,The primary cause of COPD is:,Air pollution,Smoking,Genetic factors,Respiratory infections,B,no,,,,,
70,Medical-Surgical Nursing,1150,Hypertension is defined as blood pressure consistently above:,120/80 mmHg,130/80 mmHg,140/90 mmHg,150/100 mmHg,C,no,,,,,
71,Medical-Surgical Nursing,1151,Diabetes Mellitus Type 1 is caused by:,Insulin resistance,Destruction of beta cells in pancreas,Excessive sugar intake,Obesity,B,no,,,,,
72,Medical-Surgical Nursing,1152,The term 'polyuria' refers to:,Painful urination,Excessive urination,Blood in urine,Sugar in urine,B,no,,,,,
73,Mental Health Nursing,1153,Hallucinations are a disorder of:,Thinking,Perception,Memory,Consciousness,B,no,,,,,
74,Mental Health Nursing,1154,Delusions are a disorder of:,Thought content,Perception,Emotion,Motor activity,A,no,,,,,
75,Mental Health Nursing,1155,An example of a negative symptom of schizophrenia is:,Hallucination,Delusion,Anhedonia,Disorganized speech,C,no,,,,,
76,Mental Health Nursing,1156,The drug Lithium is used as a:,Antipsychotic,Antidepressant,Mood stabilizer,Anxiolytic,C,no,,,,,
77,Community Health Nursing,1157,The vector for Dengue fever is:,Anopheles mosquito,Culex mosquito,Aedes aegypti,House fly,C,no,,,,,
78,Community Health Nursing,1158,ORS is used to prevent:,Malnutrition,Dehydration,Infection,Fever,B,no,,,,,
79,Community Health Nursing,1159,The 'DOTS' strategy is used for the treatment of:,Leprosy,Malaria,Tuberculosis,HIV/AIDS,C,no,,,,,
80,Community Health Nursing,1160,Which level of prevention includes immunization?,Primordial,Primary,Secondary,Tertiary,B,no,,,,,
81,Maternal Health Nursing,1161,The first milk secreted by the breast after delivery is called:,Foremilk,Hindmilk,Colostrum,Mature milk,C,no,,,,,
82,Maternal Health Nursing,1162,Eclampsia is characterized by:,Hypertension and proteinuria,"Hypertension, proteinuria and edema",Seizures in a patient with pre-eclampsia,Gestational diabetes,C,no,,,,,
83,Maternal Health Nursing,1163,The normal position of the uterus is:,Anteverted and anteflexed,Retroverted and retroflexed,Anteverted and retroflexed,Retroverted and anteflexed,A,no,,,,,
84,Maternal Health Nursing,1164,Which hormone is detected in the urine pregnancy test?,Estrogen,Progesterone,HCG,LH,C,no,,,,,
85,Child Health Nursing,1165,Kangaroo Mother Care is used for:,Low birth weight babies,Post-term babies,Large for gestational age babies,Infants with jaundice,A,no,,,,,
86,Child Health Nursing,1166,Vitamin K is administered to newborns to prevent:,Jaundice,Hemorrhagic disease,Infection,Hypoglycemia,B,no,,,,,
87,Child Health Nursing,1167,Physiological jaundice in newborns typically appears:,Within 24 hours,After 24 hours,After 1 week,At birth,B,no,,,,,
88,Child Health Nursing,1168,Exclusive breastfeeding is recommended for:,3 months,4 months,6 months,1 year,C,no,,,,,
89,Nutrition,1169,Kwashiorkor is due to deficiency of:,Carbohydrates,Proteins,Fats,Vitamins,B,no,,,,,
90,Nutrition,1170,Marasmus is due to deficiency of:,Proteins only,Calories only,Proteins and calories,Vitamins,C,no,,,,,
91,Nutrition,1171,Which mineral is essential for hemoglobin formation?,Calcium,Iron,Iodine,Sodium,B,no,,,,,
92,Nutrition,1172,Goiter is caused by deficiency of:,Iron,Calcium,Iodine,Potassium,C,no,,,,,
93,Microbiology,1173,The causative agent of Cholera is:,Salmonella typhi,Vibrio cholerae,E. coli,Shigella,B,no,,,,,
94,Microbiology,1174,Widal test is diagnostic for:,Malaria,Typhoid fever,Cholera,Tuberculosis,B,no,,,,,
95,Microbiology,1175,Autoclaving is meant for:,Disinfection,Sterilization,Cleaning,Antiseptic,B,no,,,,,
96,Microbiology,1176,HIV attacks which cells in the body?,Red blood cells,Platelets,CD4 T-cells,Neurons,C,no,,,,,
97,Anatomy and Physiology,1177,The power house of the cell is:,Nucleus,Mitochondria,Ribosome,Golgi apparatus,B,no,,,,,
98,Anatomy and Physiology,1178,Which blood group is the universal recipient?,A,B,AB,O,C,no,,,,,
99,Anatomy and Physiology,1179,Gas exchange in lungs takes place in:,Trachea,Bronchi,Alveoli,Pleura,C,no,,,,,
100,Anatomy and Physiology,1180,The normal number of chromosomes in a human cell is:,23,44,46,48,C,no,,,,,
101,AIIMS NORCET,2001,Normal compression to ventilation ratio:,30 ∶ 2,15 ∶ 2,2 ∶ 30,15 ∶ 1,A,no,,,,,
102,AIIMS NORCET,2002,"While using a cardiotocogram - the given Fetal heart rate to uterine contraction relation shows:   The fetal heart rate gradually decreases and returns to baseline, but the nadir of the deceleration occurs after the peak of each uterine contraction.",Early deceleration,Late deceleration,Variable deceleration,Acceleration,B,no,,,,,
103,AIIMS NORCET,2003,Contraindications of nasopharyngeal airway is:,Skull base Fracture,Sedated patient,Unconscious,During dental procedures,A,no,,,,,
104,AIIMS NORCET,2004,Complication of high flow of ventilation:,Aspiration,Pneumothorax,Diaphragmatic Hernia,COPD,B,no,,,,,
105,AIIMS NORCET,2005,Identify the FiO2 rate in the given venturi mask:,40%,31%,60%,28%,A,yes,diagram-gnm/105.jpg,,,,
106,AIIMS NORCET,2006,A patient is having calcium level of 7 mg/dL. Identify ECG changes seen in this patient?,T wave inversion,Prolonged QT interval,Prominent T wave,Peak U wave,B,no,,,,,
107,AIIMS NORCET,2007,"Identify the abnormality seen in this patient: pH - 7.25, pCO2 - 40, HCO3 - 22, Na - 150, Cl - 100",Metabolic acidosis,Respiratory acidosis,Metabolic alkalosis,Respiratory alkalosis,A,no,,,,,
108,AIIMS NORCET,2009,The earliest symptom of Hyponatremia is:,Fatigue,Ataxia,Thirst,Weakness,A,no,,,,,
109,AIIMS NORCET,2010,The earliest sign of hypocalcemia is:,Twitching,Negative Chvostek’s sign,Weakness,Exaggerated DTRs,A,no,,,,,
110,AIIMS NORCET,2011,"Patient has Vitals : BP - 120/66, Pulse - 88, SpO2 - 99, RR - 23. This patient should be classified in which triage:",Red,Yellow,Green,Black,C,no,,,,,
111,AIIMS NORCET,2012,"Patient is having Temp. - 104F, BP - 140/90 mm Hg, RR - 28/min, Pain scale - 5. Which factor you will primarily manage in this patient:",Temp 104F,BP 140/90 mm Hg,RR - 30/min,Pain scale 5,A,no,,,,,
112,AIIMS NORCET,2014,"According to ABC, which of the following describes improper cardiac circulation?",Hypotension,Diminished Pulse,Tachypnea,CRT < 3 sec,B,no,,,,,
113,AIIMS NORCET,2015,"During IV administration, which of the following drug causes extravasation and damage to site:",Diazepam,Epinephrine,Phenytoin,Ranitidine,C,no,,,,,
114,AIIMS NORCET,2016,The transillumination procedure is done with:,Venipuncture,Angiography,Blood culture,Bone marrow aspiration,A,no,,,,,
115,AIIMS NORCET,2017,"In a 3 year child, which of the following is the best complimentary feed that can be given to this child?",Mashed Bananas,Dal rice,Fruit juice,Boiled soft carrot,B,no,,,,,
116,AIIMS NORCET,2019,"In a 4.5 mm ET tube, what size of suction catheter is used?",10 French (Fr),12 French (Fr),15 French (Fr),18 French (Fr),A,no,,,,,
117,AIIMS NORCET,2020,WHO declared COVID 19 a Public Health Emergency on:,13/01/2020,30/01/2020,31/01/2020,20/01/2020,B,no,,,,,
118,AIIMS NORCET,2021,The normal interval of the QRS complex is:,0.08 sec,0.12 sec,0.16 sec,0.4 sec,A,no,,,,,
119,AIIMS NORCET,2022,The flow rate of a drug is shown as 50 mL in 15 min. The correct flow rate of this drug is:,150 mL/hour,50 mL/hour,200 mL/hour,100 mL/hour,C,no,,,,,
120,AIIMS NORCET,2023,"For a patient, the desired dose of a drug is 200mg BD. The available dose of this drug is 0.1 gm. The correct dosage for one dose of this drug is?",1 tab,2 tab,3 tab,4 tab,B,no,,,,,
121,AIIMS NORCET,2024,Desired dose of Morphine for a patient is 0.4 mg. Dose available is 1 mg/mL. The correct formulation for this patient is:,0.4 mL,0.8mL,0.2mL,0.3mL,A,no,,,,,
122,AIIMS NORCET,2025,An asthma patient comes to emergency with complaints of wheezing and chest pain. What should be the flow rate of Oxygen for this patient?,2L/min,5L/min,10L/min,15 L/min,A,no,,,,,
123,AIIMS NORCET,2026,"In a patient, Apical pulse is 80/min and radial pulse is 65/min. Identify Pulse deficit?",10,15,25,35,B,no,,,,,
124,AIIMS NORCET,2027,"In a newborn, APGAR score at 1 min is 7. Nurse found that the baby's mouth corner is stained with secretions of meconium? What is the next best step?",Prepare for resuscitation,Inform physician,Perform the suction of mouth and nose,Perform the routine care,C,no,,,,,
125,AIIMS NORCET,2028,Function of Zinc in management of Diarrhea is:,Increases appetite,Resolves abdominal cramps,Maintains hydration,Prevents induration,C,no,,,,,
126,AIIMS NORCET,2029,"A child having diarrhea shows sunken eyes and is eagerly thirsty. When milk is provided to the baby, it drinks it eagerly. Which type of dehydration is in this patient?",Mild dehydration,Moderate dehydration,Severe dehydration,Norma,B,no,,,,,
127,AIIMS NORCET,2030,"According to WHO, what is the management of the second stage of Labor?",Pushing with valsalva maneuver,Monitoring fetal heart rate,Perineal massage,Emergency C section,B,no,,,,,
128,AIIMS NORCET,2031,A patient is having hyperventilation and CO2 level is below normal range. Priority nursing management in this patient is?,Paper bag breath,Give O2 directly,Inform the doctor,Give sedative,A,no,,,,,
129,AIIMS NORCET,2032,Identify the ECG given below:,Atrial flutter,Atrial fibrillation,Sinus tachycardia,Normal sinus rhythm,C,yes,diagram-gnm/129.jpg,,,,
130,AIIMS NORCET,2033,The best position for doing Lumbar puncture is?,Left lateral,Right lateral,Fowler’s position,Prone position,A,no,,,,,
131,AIIMS NORCET,2034,Contraindication of nasal intubation is:,Conscious patient,Fracture of base of skull,Patient with limited mouth opening,Intra-oral mass,B,no,,,,,
132,AIIMS NORCET,2035,Identify this instrument:,Allis forceps,Vulsellum forceps,Cheatle forceps,Kocher’s forceps,A,yes,diagram-gnm/132.jpg,,,,
133,AIIMS NORCET,2036,Identify route of drug administration:,Subcutaneous with Z track,IM with Z track,IV,Intradermal,B,no,,,,,
134,AIIMS NORCET,2038,Identify the odd one:,Cream,Butter,Ghee,Oil,D,no,,,,,
135,AIIMS NORCET,2039,Core body temperature can be measured using all of the following methods; except:,Oral,Rectal,Temporal artery,Esophageal,C,no,,,,,
136,AIIMS NORCET,2040,"In a 35-year-old female, USG shows 2mm mass and CA125 is reactive. What is the diagnosis in this patient?",Ovarian cancer,Cervical cancer,Mucosal cancer,Uterine cancer,A,no,,,,,
137,AIIMS NORCET,2041,"A 32 week pregnant mother is having abdominal pain, tenderness and fetal distress. What will be the diagnosis in this patient?",Abruptio placenta,Placenta previa,Abortion,Ectopic Pregnancy,A,no,,,,,
138,AIIMS NORCET,2043,How to tie an ET tube to an adult patient to prevent bedsore?,Cheek to cheek on the ear,Cheek to cheek over the ear,Cheek to cheek above the ear,Cheek to cheek over the neck,C,no,,,,,
139,AIIMS NORCET,2044,"According to IMNCI, Danger sign of sick baby includes:",Persistent vomiting,Sole and palm are yellow in color,Fever,Watery eyes,A,no,,,,,
140,AIIMS NORCET,2045,A patient in the ward suffers sudden cardiac arrest. Which method of intubation should be used in this patient?,Jaw thrust method,"Head tilt, chin lift method",Valsalva maneuver,Heimlich Maneuver,B,no,,,,,
141,AIIMS NORCET,2046,A child is on chemotherapy. The nurse should teacher the mother about the following; except:,Hand washing,Avoid crowded place,Brush two times,Sitz bath,D,no,,,,,
142,AIIMS NORCET,2048,A RTA patient came to the emergency room. By which method should the oxygen be administered in this patient?,Simple mask,Rebreather mask,Nasal cannula,Non - rebreather mask,A,no,,,,,
143,AIIMS NORCET,2049,"In a 20% burns patient, how should we check the fluid volume?",Weight,Skin integrity,Strict intake output,Height,C,no,,,,,
144,AIIMS NORCET,2050,What is the antonym of monarchy:,Democracy,Piracy,Autocracy,Kingship,A,no,,,,,
145,AIIMS NORCET,2051,Group of crow is also known as:,Murder,Flock,Herd,Pack,A,no,,,,,
146,AIIMS NORCET,2053,Which behavior therapy should be given to a patient suffering from leg pain and stiffness?,Hypnosis,Relaxation,Meditation,Masturbation,B,no,,,,,
147,AIIMS NORCET,2054,"After blood transfusion, sign and symptom of circulatory overload is:","Tachycardia, tachypnea, jugular vein distension","Bradycardia, hypertension, fever","Bradycardia, hypotension, fever","Tachycardia, fever, hypotension",A,no,,,,,
148,AIIMS NORCET,2055,A nurse uses DPT vaccine and found that vial has granules. What is the next nursing action?,Discard the vial,Shake vigorously,Check after 15 min,Keep using the vial,A,no,,,,,
149,AIIMS NORCET,2056,"A patient admitted in hospital and suffering from pain, stiffness and fever for 3 days. He is confirmed with HAI. When should a nurse tell the patient about HAI?",On admission,After 1 day,After 2 days,At discharge,C,no,,,,,
150,AIIMS NORCET,2058,"A female came to hospital with a breast nodule of size 2 c.m which is freely movable, palpable but no nipple discharge  is seen from the breast. What is the best investigation for this condition?",F.N.A.C,Core needle biopsy,Breast U.S.G,Mammography,D,no,,,,,
151,AIIMS NORCET,2059,A patient in the post-op area after having a right side mastectomy. What should be the priority care for this patient?,Take BP from right side,Take BP from left side,Attach pulse oximetry on left side,Attach pulse oximetry on right side,B,no,,,,,
152,AIIMS NORCET,2060,"Emla, a topical anesthetic, should be applied for how much time before the procedure?",10 min,30 min,60 min,Immediately before procedure,C,no,,,,,
153,AIIMS NORCET,2061,"Suppose you are a nurse on duty and you are asked to measure the BP  of an adult. While choosing the cuff, the correct ratio of bladder in length and width is?",1 ∶ 3,2 ∶ 1,1 ∶ 2,3 ∶ 1,B,no,,,,,
154,AIIMS NORCET,2063,External affair minister of India in 2019,Sushma swaraj,Dr. S Jaishankar,Amit shah,Nirmala Sitharaman,B,no,,,,,
155,AIIMS NORCET,2064,"Guess the next number in this series - 150, 170, 155, 160, 180, 165, ?",130,150,160,170,D,no,,,,,
156,AIIMS NORCET,2065,What flow rate should be set when using a resuscitation bag?,10L O2 per min.,9L O2 per min.,15L O2 per min.,8L O2 per min.,C,no,,,,,
157,AIIMS NORCET,2066,54 ∶ 18 ∶ ∶ 62 ∶ ?,16,24,20,15,A,no,,,,,
158,AIIMS NORCET,2068,Which of the following is the indication to perform suctioning?,Normal air entry on auscultation,The patient has an effective cough,Reduced oxygen saturation levels,Normal respiratory rate,C,no,,,,,
159,AIIMS NORCET,2069,Mother of a 3 year old child asks the nurse about instructions following the use of a spacer . What will you tell the mother?,Mouth rinse after 30 min,Keep breathing in spacer for 30 sec,Deep breaths while using spacer,Time between alternate puffs is 30 secs,D,no,,,,,
160,AIIMS NORCET,2070,"The nurse is attending to a client who was diagnosed with heart failure. During the examination, the nurse observes that the client is dyspneic with crackles upon auscultation. Which symptoms would manifest for a client with excess fluid volume?",Decreased central venous pressure,Flat neck and hand veins,Hypertension,Weight loss,C,no,,,,,
161,AIIMS NORCET,2071,The pain management nurse follows the recommended protocol for preventing constipation when starting a patient on opioids by:,Adding bulk fiber to their diet.,Giving the patient enemas as needed.,Increasing fluids and exercise.,Using a bowel stimulant and stool softener.,D,no,,,,,
162,AIIMS NORCET,2073,Oropharyngeal airways used in which of the following patient:,Unconscious,Semi conscious,Conscious,All of the above,A,no,,,,,
